"House Committee on Agriculture","HSAG"
"House Committee on Agriculture/Subcommittee on  Conservation, Credit, Energy, and Research","HSAG_ene"
"House Committee on Agriculture/Subcommittee on Department Operations, Oversight, Nutrition and Forestry","HSAG_for"
"House Committee on Agriculture/Subcommittee on General Farm Commodities and Risk Management","HSAG_gfc"
"House Committee on Agriculture/Subcommittee on Horticulture and Organic Agriculture","HSAG_bzz"
"House Committee on Agriculture/Subcommittee on Livestock, Dairy, and Poultry ","HSAG_ldp"
"House Committee on Agriculture/Subcommittee on Rural Development, Biotechnology, Specialty Crops, and Foreign Agriculture","HSAG_bio"
"House Committee on Appropriations","HSAP"
"House Committee on Appropriations/Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","HSAP_fda"
"House Committee on Appropriations/Subcommittee on Commerce, Justice and Science, and Related Agencies","HSAP_com"
"House Committee on Appropriations/Subcommittee on Defense","HSAP_def"
"House Committee on Appropriations/Subcommittee on Energy and Water Development","HSAP_ene"
"House Committee on Appropriations/Subcommittee on Financial Services","HSAP_fin"
"House Committee on Appropriations/Subcommittee on Homeland Security","HSAP_dhs"
"House Committee on Appropriations/Subcommittee on Interior, Environment and Related Agencies","HSAP_doi"
"House Committee on Appropriations/Subcommittee on Labor, Health and Human Services, Education, and Related Agencies","HSAP_hhs"
"House Committee on Appropriations/Subcommittee on Legislative Branch","HSAP_leg"
"House Committee on Appropriations/Subcommittee on Military Construction, Veterans' Affairs and Related Agencies","HSAP_dva"
"House Committee on Appropriations/Subcommittee on Transportation, Housing and Urban Development, and Related Agencies","HSAP_hud"
"House Committee on Appropriations/Subcommittee on State, Foreign Operations, and Related Programs","HSAP_sta"
"House Committee on Armed Services","HSAS"
"House Committee on Armed Services/Subcommittee on Air and Land Forces","HSAS_alf"
"House Committee on Armed Services/Subcommittee on Readiness","HSAS_rdi"
"House Committee on Armed Services/Subcommittee on Seapower and Expeditionary Forces","HSAS_sea"
"House Committee on Armed Services/Oversight and Investigations Subcommittee","HSAS_osi"
"House Committee on Armed Services/Subcommittee on Terrorism, Unconventional Threats and Capabilities","HSAS_ter"
"House Committee on Armed Services/Strategic Forces Subcommittee ","HSAS_stf"
"House Committee on Armed Services/Military Personnel Subcommittee","HSAS_mip"
"House Committee on the Budget","HSBU"
"House Committee on Education and Labor","HSED"
"House Committee on Education and Labor/Subcommittee on Early Childhood, Elementary and Secondary Education","HSED_kid"
"House Committee on Education and Labor/Subcommittee on Healthy Families and Communities","HSED_hfc"
"House Committee on Education and Labor/Subcommittee on Higher Education, Lifelong Learning and Competitiveness","HSED_hed"
"House Committee on Education and Labor/Subcommittee on Health, Employment, Labor, and Pensions","HSED_hel"
"House Committee on Education and Labor/Subcommittee on Workforce Protections","HSED_wfp"
"House Committee on Energy and Commerce","HSIF"
"House Committee on Energy and Commerce/Subcommittee on Energy and Environment","HSIF_env"
"House Committee on Energy and Commerce/Subcommittee on Communications, Technology, and the Internet","HSIF_cti"
"House Committee on Energy and Commerce/Subcommittee on Health","HSIF_hth"
"House Committee on Energy and Commerce/Subcommittee on Commerce, Trade, and Consumer Protection","HSIF_ctc"
"House Committee on Energy and Commerce/Subcommittee on Oversight and Investigations","HSIF_osi"
"House Committee on Standards of Official Conduct","HSSO"
"House Committee on Financial Services","HSBA"
"House Committee on Financial Services/Subcommittee on Capital Markets, Insurance, and Government Sponsored Enterprises","HSBA_cap"
"House Committee on Financial Services/Subcommittee on Financial Institutions and Consumer Credit","HSBA_fic"
"House Committee on Financial Services/Subcommittee on Housing and Community Opportunity","HSBA_hco"
"House Committee on Financial Services/Subcommittee on Domestic Monetary Policy and Technology","HSBA_dmp"
"House Committee on Financial Services/Subcommittee on International Monetary Policy and Trade","HSBA_imp"
"House Committee on Financial Services/Subcommittee on Oversight and Investigations","HSBA_osi"
"House Committee on Foreign Affairs","HSFA"
"House Committee on Foreign Affairs/Subcommittee on Africa and Global Health","HSFA_afr"
"House Committee on Foreign Affairs/Subcommittee on Asia, the Pacific, and the Global Environment","HSFA_pac"
"House Committee on Foreign Affairs/Subcommittee on Europe","HSFA_eur"
"House Committee on Foreign Affairs/Subcommittee on Terrorism, Nonproliferation, and Trade","HSFA_ter"
"House Committee on Foreign Affairs/Subcommittee on International Organizations, Human Rights, and Oversight","HSFA_hro"
"House Committee on Foreign Affairs/Subcommittee on the Middle East and South Asia","HSFA_mde"
"House Committee on Foreign Affairs/Subcommittee on the Western Hemisphere","HSFA_whe"
"House Select Committee on Energy Independence and Global Warming","HSGW"
"House Permanent Select Committee on Intelligence","HSIG"
"House Committee on Rules","HSRU"
"House Committee on Rules/Subcommittee on Legislative and Budget Process","HSRU_lbp"
"House Committee on Rules/Subcommittee on Rules and Organization of the House","HSRU_roh"
"House Committee on the Judiciary","HSJU"
"House Committee on the Judiciary/Subcommittee on Courts and Competition Policy","HSJU_ccp"
"House Committee on the Judiciary/Subcommittee on the Constitution, Civil Rights, and Civil Liberties","HSJU_ccc"
"House Committee on the Judiciary/Subcommittee on Commercial and Administrative Law","HSJU_cal"
"House Committee on the Judiciary/Subcommittee on Crime, Terrorism, and Homeland Security","HSJU_cth"
"House Committee on the Judiciary/Subcommittee on Immigration, Citizenship, Refugees, Border Security, and International Law","HSJU_imi"
"House Committee on Veterans' Affairs ","HSVR"
"House Committee on Veterans' Affairs/Subcommittee on Disability Assistance and Memorial ","HSVR_dam"
"House Committee on Veterans' Affairs/Subcommittee on Economic Opportunity","HSVR_eop"
"House Committee on Veterans' Affairs/Subcommittee on Health","HSVR_hea"
"House Committee on Veterans' Affairs/Subcommittee on Oversight and Investigations","HSVR_osi"
"House Committee on Ways and Means","HSWM"
"House Committee on Ways and Means/Subcommittee on Trade","HSWM_trd"
"House Committee on Ways and Means/Subcommittee on Oversight","HSWM_osi"
"House Committee on Ways and Means/Subcommittee on Health","HSWM_hea"
"House Committee on Ways and Means/Subcommittee on Social Security","HSWM_ssc"
"House Committee on Ways and Means/Subcommittee on Income Security and Family Support","HSWM_fam"
"House Committee on Ways and Means/Subcommittee on Select Revenue Measures","HSWM_srm"
"House Committee on Transportation and Infrastructure","HSPW"
"House Committee on Transportation and Infrastructure/Subcommittee on Aviation","HSPW_air"
"House Committee on Transportation and Infrastructure/Subcommittee on Coast Guard and Maritime Transportation","HSPW_sea"
"House Committee on Transportation and Infrastructure/Subcommittee on Economic Development, Public Buildings & Emergency Management","HSPW_ecn"
"House Committee on Transportation and Infrastructure/Subcommittee on Highways and Transit","HSPW_hwy"
"House Committee on Transportation and Infrastructure/Subcommittee on Railroads, Pipelines, and Hazardous Materials","HSPW_rrd"
"House Committee on Transportation and Infrastructure/Subcommittee on Water Resources and Environment ","HSPW_wre"
"House Committee on Small Business","HSSM"
"House Committee on Small Business/Subcommittee on Finance and Tax","HSSM_tax"
"House Committee on Small Business/Subcommittee on Contracting and Technology","HSSM_tec"
"House Committee on Small Business/Subcommittee on Regulations and Healthcare","HSSM_rhc"
"House Committee on Small Business/Subcommittee on Rural Development, Entrepreneurship and Trade","HSSM_ret"
"House Committee on Small Business/Subcommittee on Investigations and Oversight ","HSSM_osi"
"House Committee on Science and Technology","HSSY"
"House Committee on Science and Technology/Subcommittee on Technology and Innovation","HSSY_tec"
"House Committee on Science and Technology/Subcommittee on Energy and Environment","HSSY_ene"
"House Committee on Science and Technology/Subcommittee on Investigations and Oversight","HSSY_osi"
"House Committee on Science and Technology/Subcommittee on Research and Science Education","HSSY_res"
"House Committee on Science and Technology/Subcommittee on Space and Aeronautics","HSSY_spc"
"House Committee on Homeland Security","HSHM"
"House Committee on Homeland Security/Subcommittee on Border, Maritime, and Global Counter Terrorism","HSHM_bor"
"House Committee on Homeland Security/Subcommittee on Intelligence, Information Sharing, and Terrorism Risk Assessment","HSHM_int"
"House Committee on Homeland Security/Subcommittee on Transportation Security and Infrastructure Protection","HSHM_tra"
"House Committee on Homeland Security/Subcommittee on Emerging Threats, Cybersecurity, and Science and Technology","HSHM_cyb"
"House Committee on Homeland Security/Subcommittee on Emergency Communications, Preparedness and Response","HSHM_cpr"
"House Committee on Homeland Security/Subcommittee on Management, Investigations, and Oversight","HSHM_osm"
"House Committee on House Administration","HSHA"
"House Committee on House Administration/Subcommittee on Elections","HSHA_ele"
"House Committee on House Administration/Subcommittee on Capitol Security ","HSHA_csc"
"House Committee on Natural Resources","HSII"
"House Committee on Natural Resources/Subcommittee on Energy and Mineral Resources","HSII_ene"
"House Committee on Natural Resources/Subcommittee on Insular Affairs, Oceans and Wildlife","HSII_iow"
"House Committee on Natural Resources/Subcommittee on National Parks, Forests and Public Lands","HSII_nps"
"House Committee on Natural Resources/Subcommittee on Water and Power","HSII_wat"
"House Committee on Oversight and Government Reform","HSGO"
"House Committee on Oversight and Government Reform/Subcommittee on Domestic Policy","HSGO_dom"
"House Committee on Oversight and Government Reform/Subcommittee on Federal Workforce, Postal Service, and the District of Columbia","HSGO_fed"
"House Committee on Oversight and Government Reform/Subcommittee on Government Management, Organization, and Procurement","HSGO_gpo"
"House Committee on Oversight and Government Reform/Subcommittee on Information Policy, Census and National Archives","HSGO_icn"
"House Committee on Oversight and Government Reform/Subcommittee on National Security and Foreign Affairs","HSGO_nsc"
